# 时间戳(ms),抖动(ms)
0,124.85
100,124.85
200,124.85
300,124.85
400,124.85
500,124.85
600,124.85
700,124.85
800,124.85
900,124.85
1000,124.85
1100,124.85
1200,124.85
1300,124.85
1400,124.85
1500,124.85
1600,124.85
1700,124.85
1800,124.85
1900,124.85
2000,124.85
2100,124.85
2200,124.85
2300,124.85
2400,124.85
2500,124.85
2600,124.85
2700,124.85
2800,124.85
2900,124.85
3000,124.85
3100,124.85
3200,124.85
3300,124.85
3400,124.85
3500,124.85
3600,124.85
3700,124.85
3800,124.85
3900,124.85
4000,124.85
4100,124.85
4200,124.85
4300,124.85
4400,124.85
4500,124.85
4600,124.85
4700,124.85
4800,124.85
4900,124.85
5000,124.85
5100,124.85
5200,124.85
5300,124.85
5400,124.85
5500,124.85
5600,124.85
5700,124.85
5800,124.85
5900,124.85
6000,124.85
6100,124.85
6200,124.85
6300,124.85
6400,124.85
6500,124.85
6600,124.85
6700,124.85
6800,124.85
6900,124.85
7000,124.85
7100,124.85
7200,124.85
7300,124.85
7400,124.85
7500,124.85
7600,124.85
7700,124.85
7800,124.85
7900,124.85
8000,124.85
8100,124.85
8200,124.85
8300,124.85
8400,124.85
8500,124.85
8600,124.85
8700,124.85
8800,124.85
8900,124.85
9000,124.85
9100,124.85
9200,124.85
9300,124.85
9400,124.85
9500,124.85
9600,124.85
9700,124.85
9800,124.85
9900,124.85
10000,124.85
10100,124.85
10200,124.85
10300,124.85
10400,124.85
10500,124.85
10600,124.85
10700,124.85
10800,124.85
10900,124.85
11000,124.85
11100,124.85
11200,124.85
11300,124.85
11400,124.85
11500,124.85
11600,124.85
11700,124.85
11800,124.85
11900,124.85
12000,124.85
12100,124.85
12200,124.85
12300,124.85
12400,124.85
12500,124.85
12600,124.85
12700,124.85
12800,124.85
12900,124.85
13000,124.85
13100,124.85
13200,124.85
13300,124.85
13400,124.85
13500,124.85
13600,124.85
13700,124.85
13800,124.85
13900,124.85
14000,124.85
14100,124.85
14200,124.85
14300,124.85
14400,124.85
14500,124.85
14600,124.85
14700,124.85
14800,124.85
14900,124.85
15000,124.85
15100,124.85
15200,124.85
15300,124.85
15400,124.85
15500,124.85
15600,124.85
15700,124.85
15800,124.85
15900,124.85
16000,124.85
16100,124.85
16200,124.85
16300,124.85
16400,124.85
16500,124.85
16600,124.85
16700,124.85
16800,124.85
16900,124.85
17000,124.85
17100,124.85
17200,124.85
17300,124.85
17400,124.85
17500,124.85
17600,124.85
17700,124.85
17800,124.85
17900,124.85
18000,124.85
18100,124.85
18200,124.85
18300,124.85
18400,124.85
18500,124.85
18600,124.85
18700,124.85
18800,124.85
18900,124.85
19000,124.85
19100,124.85
19200,124.85
19300,124.85
19400,124.85
19500,124.85
19600,124.85
19700,124.85
19800,124.85
19900,124.85
20000,124.85
20100,124.85
20200,124.85
20300,124.85
20400,124.85
20500,124.85
20600,124.85
20700,124.85
20800,124.85
20900,124.85
21000,124.85
21100,124.85
21200,124.85
21300,124.85
21400,124.85
21500,124.85
21600,124.85
21700,124.85
21800,124.85
21900,124.85
22000,124.85
22100,124.85
22200,124.85
22300,124.85
22400,124.85
22500,124.85
22600,124.85
22700,124.85
22800,124.85
22900,124.85
23000,124.85
23100,124.85
23200,124.85
23300,124.85
23400,124.85
23500,124.85
23600,124.85
23700,124.85
23800,124.85
23900,124.85
24000,124.85
24100,124.85
24200,124.85
24300,124.85
24400,124.85
24500,124.85
24600,124.85
24700,124.85
24800,124.85
24900,124.85
25000,124.85
25100,124.85
25200,124.85
25300,124.85
25400,124.85
25500,124.85
25600,124.85
25700,124.85
25800,124.85
25900,124.85
26000,124.85
26100,124.85
26200,124.85
26300,124.85
26400,124.85
26500,124.85
26600,124.85
26700,124.85
26800,124.85
26900,124.85
27000,124.85
27100,124.85
27200,124.85
27300,124.85
27400,124.85
27500,124.85
27600,124.85
27700,124.85
27800,124.85
27900,124.85
28000,124.85
28100,124.85
28200,124.85
28300,124.85
28400,124.85
28500,124.85
28600,124.85
28700,124.85
28800,124.85
28900,124.85
29000,124.85
29100,124.85
29200,124.85
29300,124.85
29400,124.85
29500,124.85
29600,124.85
29700,124.85
29800,124.85
29900,124.85
30000,124.85
30100,124.85
30200,124.85
30300,124.85
30400,124.85
30500,124.85
30600,124.85
30700,124.85
30800,124.85
30900,124.85
31000,124.85
31100,124.85
31200,124.85
31300,124.85
31400,124.85
31500,124.85
31600,124.85
31700,124.85
31800,124.85
31900,124.85
32000,124.85
32100,124.85
32200,124.85
32300,124.85
32400,124.85
32500,124.85
32600,124.85
32700,124.85
32800,124.85
32900,124.85
33000,124.85
33100,124.85
33200,124.85
33300,124.85
33400,124.85
33500,124.85
33600,124.85
33700,124.85
33800,124.85
33900,124.85
34000,124.85
34100,124.85
34200,124.85
34300,124.85
34400,124.85
34500,124.85
34600,124.85
34700,124.85
34800,124.85
34900,124.85
35000,124.85
35100,124.85
35200,124.85
35300,124.85
35400,124.85
35500,124.85
35600,124.85
35700,124.85
35800,124.85
35900,124.85
36000,124.85
36100,124.85
36200,124.85
36300,124.85
36400,124.85
36500,124.85
36600,124.85
36700,124.85
36800,124.85
36900,124.85
37000,124.85
37100,124.85
37200,124.85
37300,124.85
37400,124.85
37500,124.85
37600,124.85
37700,124.85
37800,124.85
37900,124.85
38000,124.85
38100,124.85
38200,124.85
38300,124.85
38400,124.85
38500,124.85
38600,124.85
38700,124.85
38800,124.85
38900,124.85
39000,124.85
39100,124.85
39200,124.85
39300,124.85
39400,124.85
39500,124.85
39600,124.85
39700,124.85
39800,124.85
39900,124.85
40000,124.85
40100,124.85
40200,124.85
40300,124.85
40400,124.85
40500,124.85
40600,124.85
40700,124.85
40800,124.85
40900,124.85
41000,124.85
41100,124.85
41200,124.85
41300,124.85
41400,124.85
41500,124.85
41600,124.85
41700,124.85
41800,124.85
41900,124.85
42000,124.85
42100,124.85
42200,124.85
42300,124.85
42400,124.85
42500,124.85
42600,124.85
42700,124.85
42800,124.85
42900,124.85
43000,124.85
43100,124.85
43200,124.85
43300,124.85
43400,124.85
43500,124.85
43600,124.85
43700,124.85
43800,124.85
43900,124.85
44000,124.85
44100,124.85
44200,124.85
44300,124.85
44400,124.85
44500,124.85
44600,124.85
44700,124.85
44800,124.85
44900,124.85
45000,124.85
45100,124.85
45200,124.85
45300,124.85
45400,124.85
45500,124.85
45600,124.85
45700,124.85
45800,124.85
45900,124.85
46000,124.85
46100,124.85
46200,124.85
46300,124.85
46400,124.85
46500,124.85
46600,124.85
46700,124.85
46800,124.85
46900,124.85
47000,124.85
47100,124.85
47200,124.85
47300,124.85
47400,124.85
47500,124.85
47600,124.85
47700,124.85
47800,124.85
47900,124.85
48000,124.85
48100,124.85
48200,124.85
48300,124.85
48400,124.85
48500,124.85
48600,124.85
48700,124.85
48800,124.85
48900,124.85
49000,124.85
49100,124.85
49200,124.85
49300,124.85
49400,124.85
49500,124.85
49600,124.85
49700,124.85
49800,124.85
49900,124.85
50000,124.85
50100,124.85
50200,124.85
50300,124.85
50400,124.85
50500,124.85
50600,124.85
50700,124.85
50800,124.85
50900,124.85
51000,124.85
51100,124.85
51200,124.85
51300,124.85
51400,124.85
51500,124.85
51600,124.85
51700,124.85
51800,124.85
51900,124.85
52000,124.85
52100,124.85
52200,124.85
52300,124.85
52400,124.85
52500,124.85
52600,124.85
52700,124.85
52800,124.85
52900,124.85
53000,124.85
53100,124.85
53200,124.85
53300,124.85
53400,124.85
53500,124.85
53600,124.85
53700,124.85
53800,124.85
53900,124.85
54000,124.85
54100,124.85
54200,124.85
54300,124.85
54400,124.85
54500,124.85
54600,124.85
54700,124.85
54800,124.85
54900,124.85
55000,124.85
55100,124.85
55200,124.85
55300,124.85
55400,124.85
55500,124.85
55600,124.85
55700,124.85
55800,124.85
55900,124.85
56000,124.85
56100,124.85
56200,124.85
56300,124.85
56400,124.85
56500,124.85
56600,124.85
56700,124.85
56800,124.85
56900,124.85
57000,124.85
57100,124.85
57200,124.85
57300,124.85
57400,124.85
57500,124.85
57600,124.85
57700,124.85
57800,124.85
57900,124.85
58000,124.85
58100,124.85
58200,124.85
58300,124.85
58400,124.85
58500,124.85
58600,124.85
58700,124.85
58800,124.85
58900,124.85
59000,124.85
59100,124.85
59200,124.85
59300,124.85
59400,124.85
59500,124.85
59600,124.85
59700,124.85
59800,124.85
59900,124.85
60000,124.85
60100,124.85
60200,124.85
60300,124.85
60400,124.85
60500,124.85
60600,124.85
60700,124.85
60800,124.85
60900,124.85
61000,124.85
61100,124.85
61200,124.85
61300,124.85
61400,124.85
61500,124.85
61600,124.85
61700,124.85
61800,124.85
61900,124.85
62000,124.85
62100,124.85
62200,124.85
62300,124.85
62400,124.85
62500,124.85
62600,124.85
62700,124.85
62800,124.85
62900,124.85
63000,124.85
63100,124.85
63200,124.85
63300,124.85
63400,124.85
63500,124.85
63600,124.85
63700,124.85
63800,124.85
63900,124.85
64000,124.85
64100,124.85
64200,124.85
64300,124.85
64400,124.85
64500,124.85
64600,124.85
64700,124.85
64800,124.85
64900,124.85
65000,124.85
65100,124.85
65200,124.85
65300,124.85
65400,124.85
65500,124.85
65600,124.85
65700,124.85
65800,124.85
65900,124.85
66000,124.85
66100,124.85
66200,124.85
66300,124.85
66400,124.85
66500,124.85
66600,124.85
66700,124.85
66800,124.85
66900,124.85
67000,124.85
67100,124.85
67200,124.85
67300,124.85
67400,124.85
67500,124.85
67600,124.85
67700,124.85
67800,124.85
67900,124.85
68000,124.85
68100,124.85
68200,124.85
68300,124.85
68400,124.85
68500,124.85
68600,124.85
68700,124.85
68800,124.85
68900,124.85
69000,124.85
69100,124.85
69200,124.85
69300,124.85
69400,124.85
69500,124.85
69600,124.85
69700,124.85
69800,124.85
69900,124.85
70000,124.85
70100,124.85
70200,124.85
70300,124.85
70400,124.85
70500,124.85
70600,124.85
70700,124.85
70800,124.85
70900,124.85
71000,124.85
71100,124.85
71200,124.85
71300,124.85
71400,124.85
71500,124.85
71600,124.85
71700,124.85
71800,124.85
71900,124.85
72000,124.85
72100,124.85
72200,124.85
72300,124.85
72400,124.85
72500,124.85
72600,124.85
72700,124.85
72800,124.85
72900,124.85
73000,124.85
73100,124.85
73200,124.85
73300,124.85
73400,124.85
73500,124.85
73600,124.85
73700,124.85
73800,124.85
73900,124.85
74000,124.85
74100,124.85
74200,124.85
74300,124.85
74400,124.85
74500,124.85
74600,124.85
74700,124.85
74800,124.85
74900,124.85
75000,124.85
75100,124.85
75200,124.85
75300,124.85
75400,124.85
75500,124.85
75600,124.85
75700,124.85
75800,124.85
75900,124.85
76000,124.85
76100,124.85
76200,124.85
76300,124.85
76400,124.85
76500,124.85
76600,124.85
76700,124.85
76800,124.85
76900,124.85
77000,124.85
77100,124.85
77200,124.85
77300,124.85
77400,124.85
77500,124.85
77600,124.85
77700,124.85
77800,124.85
77900,124.85
78000,124.85
78100,124.85
78200,124.85
78300,124.85
78400,124.85
78500,124.85
78600,124.85
78700,124.85
78800,124.85
78900,124.85
79000,124.85
79100,124.85
79200,124.85
79300,124.85
79400,124.85
79500,124.85
79600,124.85
79700,124.85
79800,124.85
79900,124.85
80000,124.85
80100,124.85
80200,124.85
80300,124.85
80400,124.85
80500,124.85
80600,124.85
80700,124.85
80800,124.85
80900,124.85
81000,124.85
81100,124.85
81200,124.85
81300,124.85
81400,124.85
81500,124.85
81600,124.85
81700,124.85
81800,124.85
81900,124.85
82000,124.85
82100,124.85
82200,124.85
82300,124.85
82400,124.85
82500,124.85
82600,124.85
82700,124.85
82800,124.85
82900,124.85
83000,124.85
83100,124.85
83200,124.85
83300,124.85
83400,124.85
83500,124.85
83600,124.85
83700,124.85
83800,124.85
83900,124.85
84000,124.85
84100,124.85
84200,124.85
84300,124.85
84400,124.85
84500,124.85
84600,124.85
84700,124.85
84800,124.85
84900,124.85
85000,124.85
85100,124.85
85200,124.85
85300,124.85
85400,124.85
85500,124.85
85600,124.85
85700,124.85
85800,124.85
85900,124.85
86000,124.85
86100,124.85
86200,124.85
86300,124.85
86400,124.85
86500,124.85
86600,124.85
86700,124.85
86800,124.85
86900,124.85
87000,124.85
87100,124.85
87200,124.85
87300,124.85
87400,124.85
87500,124.85
87600,124.85
87700,124.85
87800,124.85
87900,124.85
88000,124.85
88100,124.85
88200,124.85
88300,124.85
88400,124.85
88500,124.85
88600,124.85
88700,124.85
88800,124.85
88900,124.85
89000,124.85
89100,124.85
89200,124.85
89300,124.85
89400,124.85
89500,124.85
89600,124.85
89700,124.85
89800,124.85
89900,124.85
90000,124.85
90100,124.85
90200,124.85
90300,124.85
90400,124.85
90500,124.85
90600,124.85
90700,124.85
90800,124.85
90900,124.85
91000,124.85
91100,124.85
91200,124.85
91300,124.85
91400,124.85
91500,124.85
91600,124.85
91700,124.85
91800,124.85
91900,124.85
92000,124.85
92100,124.85
92200,124.85
92300,124.85
92400,124.85
92500,124.85
92600,124.85
92700,124.85
92800,124.85
92900,124.85
93000,124.85
93100,124.85
93200,124.85
93300,124.85
93400,124.85
93500,124.85
93600,124.85
93700,124.85
93800,124.85
93900,124.85
94000,124.85
94100,124.85
94200,124.85
94300,124.85
94400,124.85
94500,124.85
94600,124.85
94700,124.85
94800,124.85
94900,124.85
95000,124.85
95100,124.85
95200,124.85
95300,124.85
95400,124.85
95500,124.85
95600,124.85
95700,124.85
95800,124.85
95900,124.85
96000,124.85
96100,124.85
96200,124.85
96300,124.85
96400,124.85
96500,124.85
96600,124.85
96700,124.85
96800,124.85
96900,124.85
97000,124.85
97100,124.85
97200,124.85
97300,124.85
97400,124.85
97500,124.85
97600,124.85
97700,124.85
97800,124.85
97900,124.85
98000,124.85
98100,124.85
98200,124.85
98300,124.85
98400,124.85
98500,124.85
98600,124.85
98700,124.85
98800,124.85
98900,124.85
99000,124.85
99100,124.85
99200,275.38
99300,275.38
