# 时间戳(ms),RTT(ms)
0,117.61
100,117.61
200,117.61
300,117.61
400,117.61
500,117.61
600,117.61
700,117.61
800,117.61
900,117.61
1000,117.61
1100,117.61
1200,117.61
1300,117.61
1400,117.61
1500,117.61
1600,117.61
1700,117.61
1800,117.61
1900,117.61
2000,117.61
2100,117.61
2200,117.61
2300,117.61
2400,117.61
2500,117.61
2600,117.61
2700,117.61
2800,117.61
2900,117.61
3000,117.61
3100,117.61
3200,117.61
3300,117.61
3400,117.61
3500,117.61
3600,117.61
3700,117.61
3800,117.61
3900,117.61
4000,117.61
4100,117.61
4200,117.61
4300,117.61
4400,117.61
4500,117.61
4600,117.61
4700,117.61
4800,117.61
4900,117.61
5000,117.61
5100,117.61
5200,117.61
5300,117.61
5400,117.61
5500,117.61
5600,117.61
5700,117.61
5800,117.61
5900,117.61
6000,117.61
6100,117.61
6200,117.61
6300,117.61
6400,117.61
6500,117.61
6600,117.61
6700,117.61
6800,117.61
6900,117.61
7000,117.61
7100,117.61
7200,117.61
7300,117.61
7400,117.61
7500,117.61
7600,117.61
7700,117.61
7800,117.61
7900,117.61
8000,117.61
8100,117.61
8200,117.61
8300,117.61
8400,117.61
8500,117.61
8600,117.61
8700,117.61
8800,117.61
8900,117.61
9000,117.61
9100,117.61
9200,117.61
9300,117.61
9400,117.61
9500,117.61
9600,117.61
9700,117.61
9800,117.61
9900,117.61
10000,117.61
10100,117.61
10200,117.61
10300,117.61
10400,117.61
10500,117.61
10600,117.61
10700,117.61
10800,117.61
10900,117.61
11000,117.61
11100,117.61
11200,117.61
11300,117.61
11400,117.61
11500,117.61
11600,117.61
11700,117.61
11800,117.61
11900,117.61
12000,117.61
12100,117.61
12200,117.61
12300,117.61
12400,117.61
12500,117.61
12600,117.61
12700,117.61
12800,117.61
12900,117.61
13000,117.61
13100,117.61
13200,117.61
13300,117.61
13400,117.61
13500,117.61
13600,117.61
13700,117.61
13800,117.61
13900,117.61
14000,117.61
14100,117.61
14200,117.61
14300,117.61
14400,117.61
14500,117.61
14600,117.61
14700,117.61
14800,117.61
14900,117.61
15000,117.61
15100,117.61
15200,117.61
15300,117.61
15400,117.61
15500,117.61
15600,117.61
15700,117.61
15800,117.61
15900,117.61
16000,117.61
16100,117.61
16200,117.61
16300,117.61
16400,117.61
16500,117.61
16600,117.61
16700,117.61
16800,117.61
16900,117.61
17000,117.61
17100,117.61
17200,117.61
17300,117.61
17400,117.61
17500,117.61
17600,117.61
17700,117.61
17800,117.61
17900,117.61
18000,117.61
18100,117.61
18200,117.61
18300,117.61
18400,117.61
18500,117.61
18600,117.61
18700,117.61
18800,117.61
18900,117.61
19000,117.61
19100,117.61
19200,117.61
19300,117.61
19400,117.61
19500,117.61
19600,117.61
19700,117.61
19800,117.61
19900,117.61
20000,117.61
20100,117.61
20200,117.61
20300,117.61
20400,117.61
20500,117.61
20600,117.61
20700,117.61
20800,117.61
20900,117.61
21000,117.61
21100,117.61
21200,117.61
21300,117.61
21400,117.61
21500,117.61
21600,117.61
21700,117.61
21800,117.61
21900,117.61
22000,117.61
22100,117.61
22200,117.61
22300,117.61
22400,117.61
22500,117.61
22600,117.61
22700,117.61
22800,117.61
22900,117.61
23000,117.61
23100,117.61
23200,117.61
23300,117.61
23400,117.61
23500,117.61
23600,117.61
23700,117.61
23800,117.61
23900,117.61
24000,117.61
24100,117.61
24200,117.61
24300,117.61
24400,117.61
24500,117.61
24600,117.61
24700,117.61
24800,117.61
24900,117.61
25000,117.61
25100,117.61
25200,117.61
25300,117.61
25400,117.61
25500,117.61
25600,117.61
25700,117.61
25800,117.61
25900,117.61
26000,117.61
26100,117.61
26200,117.61
26300,117.61
26400,117.61
26500,117.61
26600,117.61
26700,117.61
26800,117.61
26900,117.61
27000,117.61
27100,117.61
27200,117.61
27300,117.61
27400,117.61
27500,117.61
27600,117.61
27700,117.61
27800,117.61
27900,117.61
28000,117.61
28100,117.61
28200,117.61
28300,117.61
28400,117.61
28500,117.61
28600,117.61
28700,117.61
28800,117.61
28900,117.61
29000,117.61
29100,117.61
29200,117.61
29300,117.61
29400,117.61
29500,117.61
29600,117.61
29700,117.61
29800,117.61
29900,117.61
30000,117.61
30100,117.61
30200,117.61
30300,117.61
30400,117.61
30500,117.61
30600,117.61
30700,117.61
30800,117.61
30900,117.61
31000,117.61
31100,117.61
31200,117.61
31300,117.61
31400,117.61
31500,117.61
31600,117.61
31700,117.61
31800,117.61
31900,117.61
32000,117.61
32100,117.61
32200,117.61
32300,117.61
32400,117.61
32500,117.61
32600,117.61
32700,117.61
32800,117.61
32900,117.61
33000,117.61
33100,117.61
33200,117.61
33300,117.61
33400,117.61
33500,117.61
33600,117.61
33700,117.61
33800,117.61
33900,117.61
34000,117.61
34100,117.61
34200,117.61
34300,117.61
34400,117.61
34500,117.61
34600,117.61
34700,117.61
34800,117.61
34900,117.61
35000,117.61
35100,117.61
35200,117.61
35300,117.61
35400,117.61
35500,117.61
35600,117.61
35700,117.61
35800,117.61
35900,117.61
36000,117.61
36100,117.61
36200,117.61
36300,117.61
36400,117.61
36500,117.61
36600,117.61
36700,117.61
36800,117.61
36900,117.61
37000,117.61
37100,117.61
37200,117.61
37300,117.61
37400,117.61
37500,117.61
37600,117.61
37700,117.61
37800,117.61
37900,117.61
38000,117.61
38100,117.61
38200,117.61
38300,117.61
38400,117.61
38500,117.61
38600,117.61
38700,117.61
38800,117.61
38900,117.61
39000,117.61
39100,117.61
39200,117.61
39300,117.61
39400,117.61
39500,117.61
39600,117.61
39700,117.61
39800,117.61
39900,117.61
40000,117.61
40100,117.61
40200,117.61
40300,117.61
40400,117.61
40500,117.61
40600,117.61
40700,117.61
40800,117.61
40900,117.61
41000,117.61
41100,117.61
41200,117.61
41300,117.61
41400,117.61
41500,117.61
41600,117.61
41700,117.61
41800,117.61
41900,117.61
42000,117.61
42100,117.61
42200,117.61
42300,117.61
42400,117.61
42500,117.61
42600,117.61
42700,117.61
42800,117.61
42900,117.61
43000,117.61
43100,117.61
43200,117.61
43300,117.61
43400,117.61
43500,117.61
43600,117.61
43700,117.61
43800,117.61
43900,117.61
44000,117.61
44100,117.61
44200,117.61
44300,117.61
44400,117.61
