# 时间戳(ms),带宽(Mbps)
0,0.10
100,0.10
200,0.10
300,0.14
400,0.14
500,0.17
600,0.18
700,0.19
800,0.19
900,0.20
1000,0.18
1100,0.17
1200,0.17
1300,0.18
1400,0.20
1500,0.19
1600,0.19
1700,0.16
1800,0.16
1900,0.16
2000,0.16
2100,0.17
2200,0.18
2300,0.19
2400,0.19
2500,0.19
2600,0.20
2700,0.17
2800,0.17
2900,0.17
3000,0.18
3100,0.19
3200,0.19
3300,0.19
3400,0.19
3500,0.20
3600,0.20
3700,0.20
3800,0.20
3900,0.21
4000,0.21
4100,0.21
4200,0.18
4300,0.18
4400,0.18
4500,0.19
4600,0.19
4700,0.19
4800,0.19
4900,0.18
5000,0.19
5100,0.19
5200,0.19
5300,0.19
5400,0.19
5500,0.19
5600,0.20
5700,0.20
5800,0.20
5900,0.20
6000,0.20
6100,0.21
6200,0.21
6300,0.21
6400,0.21
6500,0.20
6600,0.20
6700,0.20
6800,0.20
6900,0.20
7000,0.20
7100,0.20
7200,0.21
7300,0.21
7400,0.21
7500,0.21
7600,0.21
7700,0.22
7800,0.22
7900,0.22
8000,0.23
8100,0.23
8200,0.23
8300,0.23
8400,0.23
8500,0.23
8600,0.23
8700,0.24
8800,0.24
8900,0.25
9000,0.25
9100,0.25
9200,0.25
9300,0.25
9400,0.25
9500,0.26
9600,0.26
9700,0.26
9800,0.26
9900,0.26
10000,0.26
10100,0.26
10200,0.26
10300,0.27
10400,0.27
10500,0.27
10600,0.27
10700,0.27
10800,0.27
10900,0.28
11000,0.28
11100,0.28
11200,0.28
11300,0.28
11400,0.28
11500,0.29
11600,0.29
11700,0.29
11800,0.29
11900,0.29
12000,0.30
12100,0.30
12200,0.30
12300,0.30
12400,0.30
12500,0.31
12600,0.31
12700,0.31
12800,0.31
12900,0.31
13000,0.31
13100,0.31
13200,0.31
13300,0.31
13400,0.31
13500,0.32
13600,0.32
13700,0.32
13800,0.32
13900,0.10
14000,0.10
14100,0.10
14200,0.12
14300,0.12
14400,0.15
14500,0.16
14600,0.18
14700,0.18
14800,0.11
14900,0.13
15000,0.14
15100,0.14
15200,0.14
15300,0.10
15400,0.10
15500,0.10
15600,0.10
15700,0.10
15800,0.10
15900,0.10
16000,0.11
16100,0.11
16200,0.12
16300,0.12
16400,0.12
16500,0.13
16600,0.14
16700,0.14
16800,0.14
16900,0.16
17000,0.16
17100,0.16
17200,0.16
17300,0.20
17400,0.20
17500,0.20
17600,0.20
17700,0.20
17800,0.20
17900,0.20
18000,0.20
18100,0.20
18200,0.20
18300,0.21
18400,0.21
18500,0.21
18600,0.21
18700,0.22
18800,0.22
18900,0.22
