# 时间戳(ms),带宽(Mbps)
0,0.20
100,0.49
200,0.76
300,1.04
400,1.04
500,1.31
600,1.58
700,1.58
800,1.84
900,2.10
1000,2.36
1100,2.36
1200,2.62
1300,2.35
1400,2.35
1500,2.56
1600,2.78
1700,2.95
1800,2.95
1900,3.10
2000,3.12
2100,3.31
2200,3.36
2300,3.55
2400,3.55
2500,3.73
2600,3.91
2700,3.91
2800,4.07
2900,3.85
3000,4.00
3100,4.00
3200,4.16
3300,4.30
3400,4.30
3500,4.26
3600,4.42
3700,4.58
3800,4.58
3900,4.75
4000,4.91
4100,4.91
4200,5.07
4300,5.21
4400,5.21
4500,5.36
4600,5.46
4700,5.62
4800,5.62
4900,5.74
5000,5.34
5100,5.34
5200,5.47
5300,5.60
5400,5.72
5500,5.72
5600,5.85
5700,5.97
5800,5.97
5900,6.10
6000,6.21
6100,6.21
6200,6.32
6300,6.43
6400,6.35
6500,6.35
6600,6.48
6700,6.62
6800,6.62
6900,6.75
7000,6.86
7100,6.46
7200,6.46
7300,6.53
7400,6.63
7500,6.63
7600,6.73
7700,6.82
7800,6.91
7900,6.91
8000,7.01
8100,7.11
8200,7.11
8300,7.20
8400,7.29
8500,7.29
8600,7.23
8700,7.31
8800,7.40
8900,7.40
9000,7.49
9100,7.58
9200,7.58
9300,7.67
9400,7.76
9500,7.83
9600,7.83
9700,7.91
9800,8.00
9900,8.00
10000,8.07
10100,8.17
10200,8.17
10300,8.25
10400,8.17
10500,8.25
10600,8.25
10700,8.33
10800,8.40
10900,8.40
11000,8.46
11100,8.26
11200,8.34
11300,8.34
11400,8.41
11500,8.49
11600,8.49
11700,8.57
11800,8.64
11900,8.71
12000,8.71
12100,8.78
12200,8.85
12300,8.85
12400,8.93
12500,9.01
12600,9.01
12700,9.08
12800,9.14
12900,9.16
13000,9.16
13100,9.23
13200,9.31
13300,9.31
13400,9.38
13500,9.45
13600,9.51
13700,9.51
13800,9.58
13900,9.65
14000,9.65
14100,9.18
14200,9.27
14300,9.27
14400,9.31
14500,9.38
14600,9.43
14700,9.43
14800,9.49
14900,9.56
15000,9.56
15100,9.62
15200,9.67
15300,9.74
15400,9.74
15500,9.79
15600,9.86
15700,9.86
15800,9.92
15900,9.98
16000,10.05
16100,10.05
16200,10.09
16300,10.13
16400,10.13
16500,10.19
16600,10.22
16700,10.22
16800,10.28
16900,10.32
17000,10.38
17100,10.38
17200,10.44
17300,10.48
17400,10.48
17500,10.52
17600,10.59
17700,10.66
17800,10.66
17900,10.68
18000,10.75
18100,10.75
18200,10.82
18300,10.89
18400,10.89
18500,10.72
18600,10.77
18700,10.83
18800,10.83
18900,10.83
19000,10.84
19100,10.84
19200,10.89
19300,10.62
19400,10.69
19500,10.69
19600,10.77
19700,10.84
19800,10.84
19900,10.91
20000,10.99
20100,10.99
20200,11.06
20300,11.13
20400,11.19
20500,11.19
20600,11.25
20700,11.33
20800,11.33
20900,11.38
21000,11.44
21100,11.49
21200,11.49
21300,11.55
21400,11.60
21500,11.60
21600,11.47
21700,11.53
21800,11.54
21900,11.54
22000,11.61
22100,11.68
22200,11.68
22300,11.73
22400,11.79
22500,11.79
22600,11.84
22700,11.90
22800,11.91
22900,11.91
23000,11.97
23100,12.02
23200,12.02
23300,12.05
23400,12.10
23500,12.15
23600,12.15
23700,12.14
23800,12.19
23900,12.19
24000,12.25
24100,12.28
24200,12.28
24300,12.33
24400,12.37
24500,12.42
24600,12.42
24700,12.46
24800,11.95
24900,11.95
25000,12.01
25100,12.05
25200,12.11
25300,12.11
25400,12.14
25500,12.19
25600,12.19
25700,12.25
25800,12.29
25900,12.34
26000,12.34
26100,12.38
26200,12.43
26300,12.43
26400,12.45
26500,12.49
26600,12.49
26700,12.54
26800,12.58
26900,12.63
27000,12.63
27100,12.67
27200,12.70
27300,12.70
27400,12.74
27500,12.78
27600,12.83
27700,12.83
27800,12.87
27900,12.92
28000,12.92
28100,12.91
28200,12.93
28300,12.93
28400,12.98
28500,13.01
28600,13.05
28700,13.05
28800,13.08
28900,13.12
29000,13.12
29100,13.16
29200,13.20
29300,13.24
29400,13.24
29500,13.27
29600,13.28
29700,13.28
29800,13.32
29900,13.34
30000,13.38
30100,13.38
30200,13.40
30300,13.43
30400,13.43
30500,13.46
30600,13.50
30700,13.50
30800,13.54
30900,13.57
31000,13.59
31100,13.59
31200,13.62
31300,13.67
31400,13.67
31500,13.71
31600,13.74
31700,13.70
31800,13.70
31900,13.74
32000,13.77
32100,13.77
32200,13.81
32300,13.83
32400,13.83
32500,13.88
32600,13.91
32700,13.85
32800,13.85
32900,13.88
33000,13.91
33100,13.91
33200,13.96
33300,13.98
33400,13.99
33500,13.99
33600,14.04
33700,14.06
33800,14.06
33900,14.09
34000,14.11
34100,14.13
34200,14.13
34300,14.19
34400,14.22
34500,14.22
34600,14.25
34700,14.29
34800,14.29
34900,14.32
35000,14.36
35100,14.39
35200,14.39
35300,14.41
35400,14.45
35500,14.45
35600,14.45
35700,14.48
35800,14.51
35900,14.51
36000,14.54
36100,14.58
36200,14.58
36300,14.56
36400,14.61
36500,14.61
36600,14.67
36700,14.72
36800,14.78
36900,14.78
37000,14.83
37100,15.09
37200,15.09
37300,15.09
37400,15.09
37500,15.09
37600,15.09
37700,15.09
37800,15.09
37900,15.09
38000,15.16
38100,15.16
38200,15.16
38300,15.24
38400,15.24
38500,15.26
38600,15.26
38700,15.26
38800,15.29
38900,15.29
39000,15.31
39100,15.35
39200,15.38
39300,15.38
39400,15.42
39500,15.45
39600,15.45
39700,15.32
39800,15.32
39900,14.85
40000,14.85
40100,14.85
40200,14.93
40300,14.93
40400,14.93
40500,15.02
40600,15.02
40700,15.02
40800,15.02
40900,15.17
41000,15.17
41100,15.17
41200,15.17
41300,15.17
41400,15.17
41500,15.27
41600,15.27
41700,15.27
41800,15.27
41900,15.37
42000,15.37
42100,15.37
42200,15.37
42300,15.37
42400,15.52
42500,15.52
42600,15.52
42700,15.52
42800,15.52
42900,15.67
43000,15.67
43100,15.67
43200,15.67
43300,15.67
43400,15.67
43500,15.77
43600,15.77
43700,15.77
43800,15.77
43900,15.91
44000,15.91
44100,15.91
44200,15.91
44300,15.91
44400,15.91
44500,16.03
44600,16.03
44700,16.03
44800,16.03
44900,16.03
45000,16.09
45100,16.09
45200,16.09
45300,16.21
45400,16.21
45500,16.21
45600,16.21
45700,16.21
45800,16.21
45900,16.29
46000,16.29
46100,16.29
46200,16.29
46300,16.43
46400,16.43
46500,16.43
46600,16.43
46700,16.43
46800,16.43
46900,16.36
47000,16.36
47100,16.36
47200,16.39
47300,16.39
47400,16.44
47500,16.44
47600,16.44
47700,16.49
47800,16.49
47900,16.49
48000,16.49
48100,16.61
48200,16.61
48300,16.61
48400,16.61
48500,16.61
48600,16.61
48700,16.61
48800,16.61
48900,16.94
49000,16.94
49100,16.94
49200,16.94
49300,16.94
49400,16.94
49500,16.94
49600,16.94
49700,16.94
49800,16.94
49900,16.94
50000,16.94
50100,16.94
50200,16.94
50300,16.94
50400,16.98
50500,16.98
50600,16.98
50700,17.02
50800,17.02
50900,17.02
51000,16.84
51100,16.84
51200,16.84
51300,17.06
51400,17.06
51500,17.06
51600,17.06
51700,17.06
51800,17.06
51900,17.06
52000,17.14
52100,17.14
52200,17.17
52300,17.17
52400,17.17
52500,17.25
52600,17.25
52700,17.25
52800,17.32
52900,17.32
53000,17.32
53100,17.32
53200,17.32
53300,17.32
53400,17.50
53500,17.50
53600,17.50
53700,17.50
53800,17.50
53900,17.47
54000,17.47
54100,17.47
54200,17.73
54300,17.73
54400,17.73
54500,17.73
54600,17.73
54700,17.73
54800,17.73
54900,17.73
55000,17.73
55100,17.79
55200,17.79
55300,17.79
55400,17.67
55500,17.67
55600,17.73
55700,17.73
55800,17.73
55900,17.79
56000,17.79
56100,17.79
56200,17.84
56300,17.84
56400,17.84
56500,17.84
56600,17.84
56700,17.84
56800,17.78
56900,17.78
57000,17.78
57100,17.78
57200,17.99
57300,17.99
57400,17.99
57500,17.99
57600,17.99
57700,17.99
57800,17.99
57900,17.99
58000,17.99
58100,17.99
58200,18.14
58300,18.14
58400,18.14
58500,18.14
58600,18.14
58700,18.14
58800,18.14
