# 时间戳(ms),抖动(ms)
0,5.02
100,5.02
200,5.02
300,5.02
400,5.02
500,5.02
600,5.02
700,5.02
800,5.02
900,5.02
1000,5.02
1100,5.02
1200,5.02
1300,5.02
1400,5.02
1500,5.02
1600,5.02
1700,5.02
1800,5.02
1900,5.02
2000,5.02
2100,5.02
2200,5.02
2300,5.02
2400,5.02
2500,5.02
2600,5.02
2700,5.02
2800,5.02
2900,5.02
3000,5.02
3100,5.02
3200,5.02
3300,5.02
3400,5.02
3500,5.02
3600,5.02
3700,5.02
3800,5.02
3900,5.02
4000,5.02
4100,5.02
4200,5.02
4300,5.02
4400,5.02
4500,5.02
4600,5.02
4700,5.02
4800,5.02
4900,5.02
5000,5.02
5100,5.02
5200,5.02
5300,5.02
5400,5.02
5500,5.02
5600,5.02
5700,5.02
5800,5.02
5900,5.02
6000,5.02
6100,5.02
6200,5.02
6300,5.02
6400,5.02
6500,5.02
6600,5.02
6700,5.02
6800,5.02
6900,5.02
7000,5.02
7100,5.02
7200,5.02
7300,5.02
7400,5.02
7500,5.02
7600,5.02
7700,5.02
7800,5.02
7900,5.02
8000,5.02
8100,5.02
8200,5.02
8300,5.02
8400,5.02
8500,5.02
8600,5.02
8700,5.02
8800,5.02
8900,5.02
9000,5.02
9100,5.02
9200,5.02
9300,5.02
9400,5.02
9500,5.02
9600,5.02
9700,5.02
9800,5.02
9900,5.02
10000,5.02
10100,5.02
10200,5.02
10300,5.02
10400,5.02
10500,5.02
10600,5.02
10700,5.02
10800,5.02
10900,5.02
11000,5.02
11100,5.02
11200,5.02
11300,5.02
11400,5.02
11500,5.02
11600,5.02
11700,5.02
11800,5.02
11900,5.02
12000,5.02
12100,5.02
12200,5.02
12300,5.02
12400,5.02
12500,5.02
12600,5.02
12700,5.02
12800,5.02
12900,5.02
13000,5.02
13100,5.02
13200,5.02
13300,5.02
13400,5.02
13500,5.02
13600,5.02
13700,5.02
13800,5.02
13900,5.02
14000,5.02
14100,5.02
14200,5.02
14300,5.02
14400,5.02
14500,5.02
14600,5.02
14700,5.02
14800,5.02
14900,5.02
15000,5.02
15100,5.02
15200,5.02
15300,5.02
15400,5.02
15500,5.02
15600,5.02
15700,5.02
15800,5.02
15900,5.02
16000,5.02
16100,5.02
16200,5.02
16300,5.02
16400,5.02
16500,5.02
16600,5.02
16700,5.02
16800,5.02
16900,5.02
17000,5.02
17100,5.02
17200,5.02
17300,5.02
17400,5.02
17500,5.02
17600,5.02
17700,5.02
17800,5.02
17900,5.02
18000,5.02
18100,5.02
18200,5.02
18300,5.02
18400,5.02
18500,5.02
18600,5.02
18700,5.02
18800,5.02
18900,5.02
19000,5.02
19100,5.02
19200,5.02
19300,5.02
19400,5.02
19500,5.02
19600,5.02
19700,5.02
19800,5.02
19900,5.02
20000,5.02
20100,5.02
20200,5.02
20300,5.02
20400,5.02
20500,5.02
20600,5.02
20700,5.02
20800,5.02
20900,5.02
21000,5.02
21100,5.02
21200,5.02
21300,5.02
21400,5.02
21500,5.02
21600,5.02
21700,5.02
21800,5.02
21900,5.02
22000,5.02
22100,5.02
22200,5.02
22300,5.02
22400,5.02
22500,5.02
22600,5.02
22700,5.02
22800,5.02
22900,5.02
23000,5.02
23100,5.02
23200,5.02
23300,5.02
23400,5.02
23500,5.02
23600,5.02
23700,5.02
23800,5.02
23900,5.02
24000,5.02
24100,5.02
24200,5.02
24300,5.02
24400,5.02
24500,5.02
24600,5.02
24700,5.02
24800,5.02
24900,5.02
25000,5.02
25100,5.02
25200,5.02
25300,5.02
25400,5.02
25500,5.02
25600,5.02
25700,5.02
25800,5.02
25900,5.02
26000,5.02
26100,5.02
26200,5.02
26300,5.02
26400,5.02
26500,5.02
26600,5.02
26700,5.02
26800,5.02
26900,5.02
27000,5.02
27100,5.02
27200,5.02
27300,5.02
27400,5.02
27500,5.02
27600,5.02
27700,5.02
27800,5.02
27900,5.02
28000,5.02
28100,5.02
28200,5.02
28300,5.02
28400,5.02
28500,5.02
28600,5.02
28700,5.02
28800,5.02
28900,5.02
29000,5.02
29100,5.02
29200,5.02
29300,5.02
29400,5.02
29500,5.02
29600,5.02
29700,5.02
29800,5.02
29900,5.02
30000,5.02
30100,5.02
30200,5.02
30300,5.02
30400,5.02
30500,5.02
30600,5.02
30700,5.02
30800,5.02
30900,5.02
31000,5.02
31100,5.02
31200,5.02
31300,5.02
31400,5.02
31500,5.02
31600,5.02
31700,5.02
31800,5.02
31900,5.02
32000,5.02
32100,5.02
32200,5.02
32300,5.02
32400,5.02
32500,5.02
32600,5.02
32700,5.02
32800,5.02
32900,5.02
33000,5.02
33100,5.02
33200,5.02
33300,5.02
33400,5.02
33500,5.02
33600,5.02
33700,5.02
33800,5.02
33900,5.02
34000,5.02
34100,5.02
34200,5.02
34300,5.02
34400,5.02
34500,5.02
34600,5.02
34700,5.02
34800,5.02
34900,5.02
35000,5.02
35100,5.02
35200,5.02
35300,5.02
35400,5.02
35500,5.02
35600,5.02
35700,5.02
35800,5.02
35900,5.02
36000,5.02
36100,5.02
36200,5.02
36300,5.02
36400,5.02
36500,5.02
36600,5.02
36700,5.02
36800,5.02
36900,5.02
37000,5.02
37100,5.02
37200,5.02
37300,5.02
37400,5.02
37500,5.02
37600,5.02
37700,5.02
37800,5.02
37900,5.02
38000,5.02
38100,5.02
38200,5.02
38300,5.02
38400,5.02
38500,5.02
38600,5.02
38700,5.02
38800,5.02
38900,5.02
39000,5.02
39100,5.02
39200,5.02
39300,5.02
39400,5.02
39500,5.02
39600,5.02
39700,5.02
39800,5.02
39900,5.02
40000,5.02
40100,5.02
40200,5.02
40300,5.02
40400,5.02
40500,5.02
40600,5.02
40700,5.02
40800,5.02
40900,5.02
41000,5.02
41100,5.02
41200,5.02
41300,5.02
41400,5.02
41500,5.02
41600,5.02
41700,5.02
41800,5.02
41900,5.02
42000,5.02
42100,5.02
42200,5.02
42300,5.02
42400,5.02
42500,5.02
42600,5.02
42700,5.02
42800,5.02
42900,5.02
43000,5.02
43100,5.02
43200,5.02
43300,5.02
43400,5.02
43500,5.02
43600,5.02
43700,5.02
43800,5.02
43900,5.02
44000,5.02
44100,5.02
44200,5.02
44300,5.02
44400,5.02
44500,5.02
44600,5.02
44700,5.02
44800,5.02
44900,5.02
45000,5.02
45100,5.02
45200,5.02
45300,5.02
45400,5.02
45500,5.02
45600,5.02
45700,5.02
45800,5.02
45900,5.02
46000,5.02
46100,5.02
46200,5.02
46300,5.02
46400,5.02
46500,5.02
46600,5.02
46700,5.02
46800,5.02
46900,5.02
47000,5.02
47100,5.02
47200,5.02
47300,5.02
47400,5.02
47500,5.02
47600,5.02
47700,5.02
47800,5.02
47900,5.02
48000,5.02
48100,5.02
48200,5.02
48300,5.02
48400,5.02
48500,5.02
48600,5.02
48700,5.02
48800,5.02
48900,5.02
49000,5.02
49100,5.02
49200,5.02
49300,5.02
49400,5.02
49500,5.02
49600,5.02
49700,5.02
49800,5.02
49900,5.02
50000,5.02
50100,5.02
50200,5.02
50300,5.02
50400,5.02
50500,5.02
50600,5.02
50700,5.02
50800,5.02
50900,5.02
51000,5.02
51100,5.02
51200,5.02
51300,5.02
51400,5.02
51500,5.02
51600,5.02
51700,5.02
51800,5.02
51900,5.02
52000,5.02
52100,5.02
52200,5.02
52300,5.02
52400,5.02
52500,5.02
52600,5.02
52700,5.02
52800,5.02
52900,5.02
53000,5.02
53100,5.02
53200,5.02
53300,5.02
53400,5.02
53500,5.02
53600,5.02
53700,5.02
53800,5.02
53900,5.02
54000,5.02
54100,5.02
54200,5.02
54300,5.02
54400,5.02
54500,5.02
54600,5.02
54700,5.02
54800,5.02
54900,5.02
55000,5.02
55100,5.02
55200,5.02
55300,5.02
55400,5.02
55500,5.02
55600,5.02
55700,5.02
55800,5.02
55900,5.02
56000,5.02
56100,5.02
56200,5.02
56300,5.02
56400,5.02
56500,5.02
56600,5.02
56700,5.02
56800,5.02
56900,5.02
57000,5.02
57100,5.02
57200,5.02
57300,5.02
57400,5.02
57500,5.02
57600,5.02
57700,5.02
57800,5.02
57900,5.02
58000,5.02
58100,5.02
58200,5.02
58300,5.02
58400,5.02
58500,5.02
58600,5.02
58700,5.02
58800,5.02
58900,5.02
59000,5.02
59100,5.02
59200,5.02
59300,5.02
59400,5.02
59500,5.02
59600,5.02
59700,5.02
59800,5.02
59900,5.02
60000,5.02
60100,5.02
60200,5.02
60300,5.02
60400,5.02
60500,5.02
60600,5.02
60700,5.02
60800,5.02
60900,5.02
61000,5.02
61100,5.02
61200,5.02
61300,5.02
61400,5.02
61500,5.02
61600,5.02
61700,5.02
61800,5.02
61900,5.02
62000,5.02
62100,5.02
62200,5.02
62300,5.02
62400,5.02
62500,5.02
62600,5.02
62700,5.02
62800,5.02
62900,5.02
63000,5.02
63100,5.02
63200,5.02
63300,5.02
63400,5.02
63500,5.02
63600,5.02
63700,5.02
63800,5.02
63900,5.02
64000,5.02
64100,5.02
64200,5.02
64300,5.02
64400,5.02
64500,5.02
64600,5.02
64700,5.02
64800,5.02
64900,5.02
65000,5.02
65100,5.02
65200,5.02
65300,5.02
65400,5.02
65500,5.02
65600,5.02
65700,5.02
65800,5.02
65900,5.02
66000,5.02
66100,5.02
66200,5.02
66300,5.02
66400,5.02
66500,5.02
66600,5.02
66700,5.02
66800,5.02
66900,5.02
67000,5.02
67100,5.02
67200,5.02
67300,5.02
67400,5.02
67500,5.02
67600,5.02
67700,5.02
67800,5.02
67900,5.02
68000,5.02
68100,5.02
68200,5.02
68300,5.02
68400,5.02
68500,5.02
68600,5.02
68700,5.02
68800,5.02
68900,5.02
69000,5.02
69100,5.02
69200,5.02
69300,5.02
69400,5.02
69500,5.02
69600,5.02
69700,5.02
69800,5.02
69900,5.02
70000,5.02
70100,5.02
70200,5.02
70300,5.02
70400,5.02
70500,5.02
70600,5.02
70700,5.02
70800,5.02
70900,5.02
71000,5.02
71100,5.02
71200,5.02
71300,5.02
71400,5.02
71500,5.02
71600,5.02
71700,5.02
71800,5.02
71900,5.02
72000,5.02
72100,5.02
72200,5.02
72300,5.02
72400,5.02
72500,5.02
72600,5.02
72700,5.02
72800,5.02
72900,5.02
73000,5.02
73100,5.02
73200,5.02
73300,5.02
73400,5.02
73500,5.02
73600,5.02
73700,5.02
73800,5.02
73900,5.02
74000,5.02
74100,5.02
74200,5.02
74300,5.02
74400,5.02
74500,5.02
74600,5.02
74700,5.02
74800,5.02
74900,5.02
75000,5.02
75100,5.02
75200,5.02
75300,5.02
75400,5.02
75500,5.02
75600,5.02
75700,5.02
75800,5.02
75900,5.02
76000,5.02
76100,5.02
76200,5.02
76300,5.02
76400,5.02
76500,5.02
76600,5.02
76700,5.02
76800,5.02
76900,5.02
77000,5.02
77100,5.02
77200,5.02
77300,5.02
77400,5.02
77500,5.02
77600,5.02
77700,5.02
77800,5.02
77900,5.02
78000,5.02
78100,5.02
78200,5.02
78300,5.02
78400,5.02
78500,5.02
78600,5.02
78700,5.02
78800,5.02
78900,5.02
79000,5.02
79100,5.02
79200,5.02
79300,5.02
79400,5.02
79500,5.02
79600,5.02
79700,5.02
79800,5.02
79900,5.02
80000,5.02
80100,5.02
80200,5.02
80300,5.02
80400,5.02
80500,5.02
80600,5.02
80700,5.02
80800,5.02
80900,5.02
81000,5.02
81100,5.02
81200,5.02
81300,5.02
81400,5.02
81500,5.02
81600,5.02
81700,5.02
81800,5.02
81900,5.02
82000,5.02
82100,5.02
82200,5.02
82300,5.02
82400,5.02
82500,5.02
82600,5.02
82700,5.02
82800,5.02
82900,5.02
83000,5.02
83100,5.02
83200,5.02
83300,5.02
83400,5.02
83500,5.02
83600,5.02
83700,5.02
83800,5.02
83900,5.02
84000,5.02
84100,5.02
84200,5.02
84300,5.02
84400,5.02
84500,5.02
84600,5.02
84700,5.02
84800,5.02
84900,5.02
85000,5.02
85100,5.02
85200,5.02
85300,5.02
85400,5.02
85500,5.02
85600,5.02
85700,5.02
85800,5.02
85900,5.02
86000,5.02
86100,5.02
86200,5.02
86300,5.02
86400,5.02
86500,5.02
86600,5.02
86700,5.02
86800,5.02
86900,5.02
87000,5.02
87100,5.02
87200,5.02
87300,5.02
87400,5.02
87500,5.02
87600,5.02
87700,5.02
87800,5.02
87900,5.02
88000,5.02
88100,5.02
88200,5.02
88300,5.02
88400,5.02
88500,5.02
88600,5.02
88700,5.02
88800,5.02
88900,5.02
89000,5.02
89100,5.02
89200,5.02
89300,5.02
89400,5.02
89500,5.02
89600,5.02
89700,5.02
89800,5.02
89900,5.02
90000,5.02
90100,5.02
90200,5.02
90300,5.02
90400,5.02
90500,5.02
90600,5.02
90700,5.02
90800,5.02
90900,5.02
91000,5.02
91100,5.02
91200,5.02
91300,5.02
91400,5.02
91500,5.02
91600,5.02
91700,5.02
91800,5.02
91900,5.02
92000,5.02
92100,5.02
92200,5.02
92300,5.02
92400,5.02
92500,5.02
92600,5.02
92700,5.02
92800,5.02
92900,5.02
93000,5.02
93100,5.02
93200,5.02
93300,5.02
