# 时间戳(ms),RTT(ms)
0,24.93
100,24.93
200,24.93
300,24.93
400,24.93
500,24.93
600,24.93
700,24.93
800,24.93
900,24.93
1000,24.93
1100,24.93
1200,24.93
1300,24.93
1400,24.93
1500,24.93
1600,24.93
1700,24.93
1800,24.93
1900,24.93
2000,24.93
2100,24.93
2200,24.93
2300,24.93
2400,24.93
2500,24.93
2600,24.93
2700,24.93
2800,24.93
2900,24.93
3000,24.93
3100,24.93
3200,24.93
3300,24.93
3400,24.93
3500,24.93
3600,24.93
3700,24.93
3800,24.93
3900,24.93
4000,24.93
4100,24.93
4200,24.93
4300,24.93
4400,24.93
4500,24.93
4600,24.93
4700,24.93
4800,24.93
4900,24.93
5000,24.93
5100,24.93
5200,24.93
5300,24.93
5400,24.93
5500,24.93
5600,24.93
5700,24.93
5800,24.93
5900,24.93
6000,24.93
6100,24.93
6200,24.93
6300,24.93
6400,24.93
6500,24.93
6600,24.93
6700,24.93
6800,24.93
6900,24.93
7000,24.93
7100,24.93
7200,24.93
7300,24.93
7400,24.93
7500,24.93
7600,24.93
7700,24.93
7800,24.93
7900,24.93
8000,24.93
8100,24.93
8200,24.93
8300,24.93
8400,24.93
8500,24.93
8600,24.93
8700,24.93
8800,24.93
8900,24.93
9000,24.93
9100,24.93
9200,24.93
9300,24.93
9400,24.93
9500,24.93
9600,24.93
9700,24.93
9800,24.93
9900,24.93
10000,24.93
10100,24.93
10200,24.93
10300,24.93
10400,24.93
10500,24.93
10600,24.93
10700,24.93
10800,24.93
10900,24.93
11000,24.93
11100,24.93
11200,24.93
11300,24.93
11400,24.93
11500,24.93
11600,24.93
11700,24.93
11800,24.93
11900,24.93
12000,24.93
12100,24.93
12200,24.93
12300,24.93
12400,24.93
12500,24.93
12600,24.93
12700,24.93
12800,24.93
12900,24.93
13000,24.93
13100,24.93
13200,24.93
13300,24.93
13400,24.93
13500,24.93
13600,24.93
13700,24.93
13800,24.93
13900,24.93
14000,24.93
14100,24.93
14200,24.93
14300,24.93
14400,24.93
14500,24.93
14600,24.93
14700,24.93
14800,24.93
14900,24.93
15000,24.93
15100,24.93
15200,24.93
15300,24.93
15400,24.93
15500,24.93
15600,24.93
15700,24.93
15800,24.93
15900,24.93
16000,24.93
16100,24.93
16200,24.93
16300,24.93
16400,24.93
16500,24.93
16600,24.93
16700,24.93
16800,24.93
16900,24.93
17000,24.93
17100,24.93
17200,24.93
17300,24.93
17400,24.93
17500,24.93
17600,24.93
17700,24.93
17800,24.93
17900,24.93
18000,24.93
18100,24.93
18200,24.93
18300,24.93
18400,24.93
18500,24.93
18600,24.93
18700,24.93
18800,24.93
18900,24.93
19000,24.93
19100,24.93
19200,24.93
19300,24.93
19400,24.93
19500,24.93
19600,24.93
19700,24.93
19800,24.93
19900,24.93
20000,24.93
20100,24.93
20200,24.93
20300,24.93
20400,24.93
20500,24.93
20600,24.93
20700,24.93
20800,24.93
20900,24.93
21000,24.93
21100,24.93
21200,24.93
21300,24.93
21400,24.93
21500,24.93
21600,24.93
21700,24.93
21800,24.93
21900,24.93
22000,24.93
22100,24.93
22200,24.93
22300,24.93
22400,24.93
22500,24.93
22600,24.93
22700,24.93
22800,24.93
22900,24.93
23000,24.93
23100,24.93
23200,24.93
23300,24.93
23400,24.93
23500,24.93
23600,24.93
23700,24.93
23800,24.93
23900,24.93
24000,24.93
24100,24.93
24200,24.93
24300,24.93
24400,24.93
24500,24.93
24600,24.93
24700,24.93
24800,24.93
24900,24.93
25000,24.93
25100,24.93
25200,24.93
25300,24.93
25400,24.93
25500,24.93
25600,24.93
25700,24.93
25800,24.93
25900,24.93
26000,24.93
26100,24.93
26200,24.93
26300,24.93
26400,24.93
26500,24.93
26600,24.93
26700,24.93
26800,24.93
26900,24.93
27000,24.93
27100,24.93
27200,24.93
27300,24.93
27400,24.93
27500,24.93
27600,24.93
27700,24.93
27800,24.93
27900,24.93
28000,24.93
28100,24.93
28200,24.93
28300,24.93
28400,24.93
28500,24.93
28600,24.93
28700,24.93
28800,24.93
28900,24.93
29000,24.93
29100,24.93
29200,24.93
29300,24.93
29400,24.93
29500,24.93
29600,24.93
29700,24.93
29800,24.93
29900,24.93
30000,24.93
30100,24.93
30200,24.93
30300,24.93
30400,24.93
30500,24.93
30600,24.93
30700,24.93
30800,24.93
30900,24.93
31000,24.93
31100,24.93
31200,24.93
31300,24.93
31400,24.93
31500,24.93
31600,24.93
31700,24.93
31800,24.93
31900,24.93
32000,24.93
32100,24.93
32200,24.93
32300,24.93
32400,24.93
32500,24.93
32600,24.93
32700,24.93
32800,24.93
32900,24.93
33000,24.93
33100,24.93
33200,24.93
33300,24.93
33400,24.93
33500,24.93
33600,24.93
33700,24.93
33800,24.93
33900,24.93
34000,24.93
34100,24.93
34200,24.93
34300,24.93
34400,24.93
34500,24.93
34600,24.93
34700,24.93
34800,24.93
34900,24.93
35000,24.93
35100,24.93
35200,24.93
35300,24.93
35400,24.93
35500,24.93
35600,24.93
35700,24.93
35800,24.93
35900,24.93
36000,24.93
36100,24.93
36200,24.93
36300,24.93
36400,24.93
36500,24.93
36600,24.93
36700,24.93
36800,24.93
36900,24.93
37000,24.93
37100,24.93
37200,24.93
37300,24.93
37400,24.93
37500,24.93
37600,24.93
37700,24.93
37800,24.93
37900,24.93
38000,24.93
38100,24.93
38200,24.93
38300,24.93
38400,24.93
38500,24.93
38600,24.93
38700,24.93
38800,24.93
38900,24.93
39000,24.93
39100,24.93
39200,24.93
39300,24.93
39400,24.93
39500,24.93
39600,24.93
39700,24.93
39800,24.93
39900,24.93
40000,24.93
40100,24.93
40200,24.93
40300,24.93
40400,24.93
40500,24.93
40600,24.93
40700,24.93
40800,24.93
40900,24.93
41000,24.93
41100,24.93
41200,24.93
41300,24.93
41400,24.93
41500,24.93
41600,24.93
41700,24.93
41800,24.93
41900,24.93
42000,24.93
42100,24.93
42200,24.93
42300,24.93
42400,24.93
42500,24.93
42600,24.93
42700,24.93
42800,24.93
42900,24.93
43000,24.93
